Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-1.44851
1,0.987489,0.521966,-2.70639
2,0.981287,0.148425,-3.7008
3,0.975125,0.0933196,-4.29199
4,0.969001,0.0770365,-5.07972
5,0.962915,0.0493993,-5.84874
6,0.956868,0.0442592,-6.23231
7,0.950859,0.341626,-6.43965
8,0.944887,0.240911,-6.67461
9,0.938953,0.242267,-7.83122
10,0.933056,0.220694,-8.09936
11,0.927196,0.245521,-7.82328
12,0.921373,0.242874,-8.3361
13,0.915587,0.227013,-8.66651
14,0.909837,0.252093,-8.38541
15,0.904123,0.658963,-9.04431
16,0.898445,0.582825,-9.71564
17,0.892802,0.56816,-9.89199
18,0.887195,0.578349,-9.35121
19,0.881624,0.540629,-9.27625
20,0.876087,0.553372,-9.30905
21,0.870585,0.470268,-9.557
22,0.865117,0.557629,-9.40058
23,0.859684,0.615299,-9.81462
24,0.854285,0.525561,-10.0144
25,0.84892,0.491413,-9.55364
26,0.843589,0.545244,-9.72117
27,0.838291,0.511587,-9.55288
28,0.833026,0.449463,-9.35885
29,0.827795,0.523234,-9.69201
30,0.822596,0.51145,-9.83291
31,0.81743,0.553534,-9.95707
32,0.812296,0.562401,-9.63637
33,0.807195,0.492161,-9.5781
34,0.802126,0.526777,-10.1906
35,0.797088,0.493192,-9.8028
36,0.792082,0.490697,-9.8544
37,0.787108,0.491121,-9.33498
38,0.782165,0.465966,-9.02503
39,0.777252,0.502865,-8.69406
40,0.772371,0.406483,-8.32033
41,0.767521,0.3712,-8.37093
42,0.7627,0.353523,-8.52374
43,0.75791,0.372742,-8.68539
44,0.753151,0.377857,-8.0477
45,0.748421,0.392771,-7.9669
46,0.74372,0.371206,-7.71365
47,0.73905,0.356183,-7.51521
48,0.734408,0.289596,-7.6706
49,0.729796,0.313128,-6.94889
50,0.725213,0.282142,-6.80895
51,0.720658,0.277984,-6.76557
52,0.716133,0.263806,-7.07267
53,0.711635,0.2784,-7.12041
54,0.707166,0.25096,-7.16416
55,0.702725,0.377182,-6.91528
56,0.698312,0.342151,-6.67306
57,0.693926,0.3153,-6.8701
58,0.689568,0.316766,-7.03572
59,0.685237,0.294246,-6.62335
60,0.680934,0.336574,-5.94987
61,0.676658,0.320245,-6.08849
62,0.672408,0.344148,-5.73622
63,0.668185,0.380705,-5.68844
64,0.663989,0.353181,-6.10199
65,0.659819,0.359062,-6.02978
66,0.655675,0.356503,-5.89483
67,0.651557,0.353873,-6.14413
68,0.647465,0.339749,-5.99849
69,0.643399,0.3149,-5.20132
70,0.639358,0.357777,-4.71619
71,0.635343,0.39955,-4.37105
72,0.631353,0.366625,-3.9099
73,0.627388,0.406104,-3.52959
74,0.623448,0.365945,-3.78908
75,0.619533,0.325839,-3.03395
76,0.615642,0.378659,-2.47488
77,0.611775,0.345499,-2.93303
78,0.607933,0.367377,-2.87398
79,0.604115,0.444189,-2.61598
80,0.600321,0.405532,-2.73775
81,0.596551,0.435942,-2.87088
82,0.592805,0.437493,-2.60326
83,0.589082,0.407081,-2.981
84,0.585382,0.420116,-2.86745
85,0.581706,0.468351,-2.17051
86,0.578053,0.399589,-1.79236
87,0.574423,0.566023,-1.45866
88,0.570815,0.549334,-1.35963
89,0.56723,0.482956,-1.13566
90,0.563668,0.490677,-1.52008
91,0.560128,0.478995,-0.902977
92,0.55661,0.44601,-0.51589
93,0.553115,0.483391,-0.564914
94,0.549641,0.465713,-0.57857
95,0.546189,0.489686,-0.953805
96,0.542759,0.520659,-0.484933
97,0.53935,0.461675,-0.687949
98,0.535963,0.464608,-0.642708
99,0.532597,0.497326,-0.193515
100,0.529252,0.470974,0.133664
101,0.525928,0.47904,0.175281
102,0.522626,0.517667,0.353953
103,0.519343,0.481237,0.0252425
104,0.516082,0.448308,0.322914
105,0.512841,0.472843,0.177748
106,0.50962,0.450201,-0.00980003
107,0.506419,0.399412,0.394047
108,0.503239,0.42338,-0.0559901
109,0.500079,0.42184,0.648797
110,0.496938,0.426072,1.35066
111,0.493817,0.485103,1.55822
112,0.490716,0.403483,1.83938
113,0.487634,0.417863,2.3642
114,0.484572,0.3493,3.35323
115,0.481528,0.374261,3.50147
116,0.478504,0.377388,3.89383
117,0.475499,0.385991,3.59029
118,0.472513,0.448543,3.58426
119,0.469546,0.419137,3.81911
120,0.466597,0.465304,4.35174
121,0.463666,0.375446,4.11393
122,0.460754,0.354291,4.85547
123,0.457861,0.428149,5.10936
124,0.454985,0.385081,5.24674
125,0.452128,0.427257,3.96235
126,0.449289,0.495805,3.81603
127,0.446467,0.392909,3.55134
128,0.443663,0.345239,3.47739
129,0.440877,0.380842,3.90989
130,0.438108,0.359424,3.44667
131,0.435357,0.40411,4.3505
132,0.432622,0.371581,5.03706
133,0.429905,0.401153,5.23829
134,0.427206,0.40485,5.4548
135,0.424523,0.365713,5.20137
136,0.421857,0.370053,5.18282
137,0.419207,0.363871,5.02738
138,0.416574,0.364737,5.88747
139,0.413958,0.368988,5.57529
140,0.411359,0.354182,6.18721
141,0.408775,0.390112,5.60903
142,0.406208,0.424252,5.57357
143,0.403657,0.373862,5.6177
144,0.401122,0.408494,5.73265
145,0.398603,0.41453,5.80104
