Episode,Epsilon,Q Value Loss,E[R]
0,0.804286,0.0292355,1.48397
1,0.646747,0.033734,2.97099
2,0.520066,0.0325374,4.07035
3,0.418198,0.0271913,4.87835
4,0.336284,0.0361516,5.87002
5,0.270414,0.0428398,6.58088
6,0.217447,0.0347612,6.94666
7,0.174855,0.046086,7.46578
8,0.140605,0.0394552,8.00809
9,0.113064,0.0505638,8.14616
10,0.0909178,0.0496864,8.15563
11,0.0731093,0.0628077,8.29842
12,0.058789,0.0485109,7.56429
13,0.0472738,0.0420119,8.15988
14,0.038014,0.0382019,8.39043
15,0.030568,0.0523602,8.80064
16,0.0245805,0.0467827,8.83105
17,0.0197658,0.0378734,8.96688
18,0.0158942,0.0427456,8.70346
19,0.0127809,0.0350838,8.81978
20,0.0102775,0.0451469,8.94345
21,0.00826438,0.065719,9.02378
22,0.0066456,0.0399131,8.89613
23,0.0053439,0.035967,9.03177
24,0.00429716,0.0267912,9.08308
25,0.00345546,0.0402121,7.87879
26,0.00277862,0.0487752,8.55792
27,0.00223436,0.0514441,8.88693
28,0.00179671,0.0403576,8.91526
29,0.00144478,0.0468559,9.11376
30,0.00116178,0.0506136,9.24204
31,0.000934219,0.0453388,9.14844
32,0.000751229,0.0542797,9.19502
33,0.000604082,0.035099,9.14146
34,0.000485758,0.0450243,9.11505
35,0.00039061,0.0458964,9.16402
36,0.0003141,0.0499433,8.91634
37,0.000252576,0.044993,9.1524
38,0.000203102,0.0581287,9.31176
39,0.00016332,0.0921047,8.1717
40,0.00013133,0.0766241,7.33826
41,0.000105606,0.0429955,7.40737
42,8.49201e-05,0.0525244,8.2798
43,6.82864e-05,0.0437163,8.78364
44,5.49108e-05,0.0451665,8.84661
45,4.41552e-05,0.0367675,9.12093
46,3.55063e-05,0.0457732,9.16532
47,2.85515e-05,0.0434781,9.04526
48,2.2959e-05,0.0482251,9.10032
49,1.84619e-05,0.0305427,9.39361
50,1.48457e-05,0.052181,9.2883
51,1.19378e-05,0.0418559,9.34853
52,9.5995e-06,0.0518771,9.22169
53,7.7192e-06,0.0501497,9.18464
54,6.2072e-06,0.0883928,9.02768
55,4.99137e-06,0.0523805,8.97142
56,4.01369e-06,0.0485193,9.10953
57,3.22751e-06,0.0519848,8.96271
58,2.59532e-06,0.0578223,9.10969
59,2.08696e-06,0.0435372,9.01846
60,1.67818e-06,0.046666,9.06527
61,1.34947e-06,0.0317514,9.18398
62,1.08514e-06,0.0398329,9.25378
63,8.7259e-07,0.0381994,9.1778
64,7.01672e-07,0.0530753,9.27198
65,5.64232e-07,0.0374842,9.26634
66,4.53713e-07,0.0468971,9.06866
67,3.64843e-07,0.0378851,9.16828
68,2.93379e-07,0.0366224,9.18008
69,2.35914e-07,0.0459325,9.19807
70,1.89704e-07,0.0450418,9.28972
71,1.52546e-07,0.0467536,9.12945
72,1.22666e-07,0.0385781,9.09764
73,9.86389e-08,0.0319025,9.11416
74,7.93181e-08,0.0487304,9.31737
75,6.37817e-08,0.0396158,9.22785
76,5.12885e-08,0.0412548,9.21589
77,4.12424e-08,0.0418147,9.21359
78,3.3164e-08,0.0320668,9.21379
79,2.6668e-08,0.0566189,9.21765
80,2.14444e-08,0.0417085,9.03801
81,1.7244e-08,0.0446649,9.12078
82,1.38664e-08,0.0503514,9.18381
83,1.11503e-08,0.0330499,9.18453
84,8.96623e-09,0.0425428,9.13208
85,7.20998e-09,0.0326787,9.11905
86,5.79773e-09,0.0328791,9.19859
87,4.6621e-09,0.0362524,9.23408
88,3.74891e-09,0.0535402,9.30195
89,3.0146e-09,0.0358676,9.08666
90,2.42411e-09,0.0448434,9.17086
91,1.94929e-09,0.0320176,9.31381
92,1.56747e-09,0.0455108,9.27506
93,1.26045e-09,0.0441894,9.19112
94,1.01356e-09,0.0372904,9.13797
95,8.15027e-10,0.0430042,9.22988
96,6.55384e-10,0.0454464,9.08863
97,5.27011e-10,0.0465023,9.13273
98,4.23783e-10,0.0305774,9.15323
99,3.40775e-10,0.0466235,9.01051
100,2.74025e-10,0.0442994,8.95434
101,2.20351e-10,0.0477591,9.02991
102,1.7719e-10,0.0391847,9.24454
103,1.42483e-10,0.0484475,9.20469
104,1.14574e-10,0.047113,9.15196
105,9.21319e-11,0.049425,9.24436
106,7.40856e-11,0.0397304,9.20361
107,5.95741e-11,0.0518877,9.21299
108,4.79051e-11,0.0521906,9.24233
109,3.85217e-11,0.0430523,9.28838
110,3.09763e-11,0.0429518,9.24302
111,2.49088e-11,0.0417548,9.32974
112,2.00298e-11,0.0434764,9.39374
113,1.61065e-11,0.0470116,9.35781
114,1.29516e-11,0.0543836,9.38951
115,1.04147e-11,0.0565347,9.26038
116,8.37475e-12,0.0579238,9.36886
117,6.73435e-12,0.0500833,9.32333
118,5.41526e-12,0.0420411,9.15352
119,4.35455e-12,0.0456614,9.18631
120,3.5016e-12,0.0439214,9.23481
121,2.81573e-12,0.050295,9.17307
122,2.2642e-12,0.0393555,9.10484
123,1.8207e-12,0.04056,9.14986
124,1.46407e-12,0.0312394,9.17065
125,1.1773e-12,0.0441333,9.21849
126,9.46694e-13,0.0533324,9.28714
127,7.61261e-13,0.049189,9.26074
128,6.12149e-13,0.0396297,9.14631
129,4.92245e-13,0.0455953,9.05065
130,3.95827e-13,0.0528853,9.04921
131,3.18294e-13,0.046769,9.08534
132,2.55949e-13,0.0445662,8.96733
133,2.05815e-13,0.0389756,9.13459
134,1.65501e-13,0.0561658,9.13479
135,1.33083e-13,0.0465456,9.19089
136,1.07016e-13,0.0597174,9.03364
137,8.60541e-14,0.0533529,9.08963
138,6.91983e-14,0.0383713,9.25277
139,5.56441e-14,0.0387076,9.27997
140,4.47449e-14,0.0495743,9.26798
141,3.59805e-14,0.0507159,9.15068
142,2.89328e-14,0.038449,9.07987
143,2.32656e-14,0.0457688,9.10625
144,1.87085e-14,0.0301937,9.21641
145,1.5044e-14,0.0479566,9.21255
146,1.20972e-14,0.0386502,8.99206
147,9.72769e-15,0.0306747,9.23589
148,7.82228e-15,0.0430562,9.18296
149,6.2901e-15,0.0426686,9.08969
150,5.05803e-15,0.0359577,9.0239
151,4.06729e-15,0.0377933,9.08987
152,3.27061e-15,0.0513777,9.11558
153,2.62998e-15,0.0440099,9.01609
154,2.11483e-15,0.0378748,9.26045
155,1.70059e-15,0.0394632,9.18472
156,1.36749e-15,0.0490219,9.28982
157,1.09963e-15,0.0512982,9.28437
158,8.84243e-16,0.0489714,9.25221
159,7.11042e-16,0.0371927,9.3984
160,5.71767e-16,0.0350791,9.39539
161,4.59772e-16,0.0389994,9.22224
162,3.69715e-16,0.0455501,9.21149
163,2.97297e-16,0.0408416,9.12182
164,2.39064e-16,0.049673,9.35001
165,1.92238e-16,0.0583107,9.21629
166,1.54583e-16,0.039505,9.25805
167,1.24304e-16,0.0392669,9.13785
168,9.99562e-17,0.0437669,9.1351
169,8.03773e-17,0.0243288,9.17511
170,6.46334e-17,0.0461513,9.14428
171,5.19734e-17,0.0432009,9.26147
172,4.17931e-17,0.0417044,9.26884
173,3.36069e-17,0.059432,9.14714
174,2.70242e-17,0.0447028,9.18552
175,2.17308e-17,0.0366597,9.22679
176,1.74743e-17,0.0513471,9.31226
177,1.40515e-17,0.0549785,9.33867
