Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-2.15717
1,1,0,-2.20096
2,1,0,-3.30081
3,1,0,-5.62346
4,1,0,-6.92481
5,1,0,-6.51842
6,1,0,-7.20213
7,1,0,-7.92173
8,1,0,-8.32131
9,1,0,-10.0366
10,1,0,-9.56627
11,1,0,-8.97512
12,1,0,-10.3452
13,1,0,-10.0029
14,1,0,-10.1555
15,1,0,-10.5136
16,1,0,-11.1741
17,1,0,-10.429
18,1,0,-10.5941
19,1,0,-9.56595
20,1,0,-10.9414
21,1,0,-11.1528
22,1,0,-12.2845
23,1,0,-11.5091
24,1,0,-11.9618
25,1,0,-13.2136
26,1,0,-12.3429
27,1,0,-11.8055
28,1,0,-12.2721
29,1,0,-11.4412
30,1,0,-11.4902
31,1,2.13351,-12.5278
32,0.993769,1.55124,-12.1318
33,0.987528,0.90216,-12.2209
34,0.981327,0.572904,-11.8534
35,0.975164,0.516468,-12.3331
36,0.969039,0.390274,-13.582
37,0.962954,0.293221,-12.6399
38,0.956906,0.309656,-12.8863
39,0.950897,0.203632,-12.0323
40,0.944925,0.172205,-11.0492
41,0.93899,0.899662,-10.8075
42,0.933093,0.854666,-10.728
43,0.927233,0.818446,-9.56492
44,0.92141,0.757873,-9.99436
45,0.915624,0.741089,-10.9943
46,0.909873,0.707871,-10.1004
47,0.904159,0.717638,-9.18094
48,0.898481,0.657588,-8.49261
49,0.892838,0.713117,-8.51738
50,0.887231,0.724835,-9.59269
51,0.881659,0.715596,-10.1778
52,0.876122,0.660527,-9.96039
53,0.87062,0.640448,-8.75935
54,0.865152,0.648377,-8.51324
55,0.859719,0.58225,-9.13259
56,0.85432,0.606306,-10.042
57,0.848954,0.626187,-9.19543
58,0.843623,0.581017,-9.27732
59,0.838325,0.54429,-9.43773
60,0.83306,0.591424,-9.23185
61,0.827828,0.918178,-8.51908
62,0.822629,0.899339,-9.22829
63,0.817463,0.839315,-8.74728
64,0.812329,0.88342,-8.6093
65,0.807227,0.800236,-7.82675
66,0.802158,0.782852,-7.48008
67,0.79712,0.844551,-8.47204
68,0.792114,0.789362,-7.32483
69,0.787139,0.71607,-7.54865
70,0.782196,0.751701,-7.9949
71,0.777284,0.863625,-7.54233
72,0.772402,0.808988,-8.47269
73,0.767551,0.876275,-8.87761
74,0.762731,0.831215,-9.41864
75,0.757941,0.862858,-8.05977
76,0.753181,0.739806,-6.60862
77,0.748451,0.760884,-7.48898
78,0.74375,0.808178,-6.20534
79,0.739079,0.697509,-5.38405
80,0.734438,0.792385,-4.51113
81,0.729825,0.805603,-3.84484
82,0.725242,0.814332,-4.68134
83,0.720687,0.726265,-4.20992
84,0.716161,0.684711,-4.31417
85,0.711664,0.69246,-3.44088
86,0.707194,0.613827,-4.31659
87,0.702753,0.659784,-4.15018
88,0.698339,0.664591,-3.63434
89,0.693954,0.717277,-4.41792
90,0.689596,0.680771,-4.39224
91,0.685265,0.725825,-3.88538
92,0.680961,0.658686,-3.33331
93,0.676685,0.626011,-2.70716
94,0.672435,0.724554,-4.40281
95,0.668212,0.687457,-4.44218
96,0.664015,0.664409,-3.38044
97,0.659845,0.587602,-2.78635
98,0.655701,0.579569,-2.12901
99,0.651583,0.641038,-2.16241
100,0.647491,0.599366,-1.89321
101,0.643425,0.726437,-2.70859
102,0.639384,0.723506,-2.86424
103,0.635369,0.680914,-2.33215
104,0.631378,0.66227,-2.37609
105,0.627413,0.647115,-2.27953
106,0.623473,0.612996,-1.23818
107,0.619557,0.61216,-1.41888
108,0.615666,0.642944,-1.0082
109,0.6118,0.620844,-2.386
110,0.607958,0.634055,-4.01317
111,0.60414,0.680157,-3.87947
112,0.600345,0.637724,-3.07186
113,0.596575,0.603674,-4.38162
114,0.592829,0.677276,-6.0713
115,0.589105,0.630277,-5.11085
116,0.585406,0.620858,-5.59615
117,0.581729,0.628976,-3.89145
118,0.578076,0.64459,-2.92873
119,0.574446,0.640603,-1.33066
120,0.570838,0.617489,-1.19211
121,0.567253,0.560981,-0.00751775
122,0.56369,0.570771,1.61523
123,0.56015,0.538642,2.43248
124,0.556633,0.488581,2.85239
125,0.553137,0.507807,3.74402
126,0.549663,0.550535,3.6105
127,0.546211,0.490611,3.43439
128,0.542781,0.502957,3.04883
129,0.539372,0.502533,3.26359
130,0.535985,0.518378,3.38198
131,0.532618,0.825859,4.40632
132,0.529274,0.836469,4.77956
133,0.52595,0.72959,4.83298
134,0.522646,0.783014,5.00006
135,0.519364,0.734526,4.87187
136,0.516102,0.729382,4.22251
137,0.512861,0.792543,4.8298
138,0.50964,0.83378,3.31137
139,0.50644,0.778307,2.77943
140,0.503259,0.778419,2.93851
141,0.500099,0.927339,3.43886
142,0.496958,0.90772,2.57143
143,0.493837,0.902975,2.76721
144,0.490736,0.945636,3.3688
145,0.487654,0.853259,4.1325
146,0.484591,0.90944,4.54809
147,0.481548,0.787827,4.63009
148,0.478523,0.806602,5.49561
149,0.475518,0.784468,4.83482
150,0.472532,0.803915,5.4423
151,0.469564,0.801413,5.17852
152,0.466615,0.733166,4.46714
153,0.463685,0.732953,3.35453
154,0.460773,0.766075,1.83235
155,0.457879,0.705758,2.75696
156,0.455004,0.694891,2.68988
157,0.452146,0.712696,4.2249
158,0.449306,0.685963,4.68284
159,0.446485,0.681858,4.93808
160,0.443681,0.658176,5.93473
161,0.440894,0.698416,5.99889
162,0.438125,0.664049,6.38953
163,0.435374,0.734014,7.1421
164,0.43264,0.631164,8.28665
165,0.429923,0.615218,6.55726
166,0.427223,0.620999,6.25241
167,0.42454,0.663736,5.7903
168,0.421873,0.649219,6.46263
169,0.419224,0.642431,5.00057
170,0.416591,0.658709,5.41513
171,0.413975,0.702405,4.86348
172,0.411375,0.541282,4.62198
173,0.408792,0.597291,6.34246
174,0.406224,0.607252,5.93706
175,0.403673,0.558725,6.57732
176,0.401138,0.631043,7.06899
177,0.398619,0.581171,7.72847
178,0.396115,0.625077,5.96186
179,0.393628,0.593194,5.17035
180,0.391156,0.592039,6.34081
181,0.388699,0.646397,6.80729
182,0.386258,0.61846,7.41901
