Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-2.15717
1,1,0,-2.20096
2,1,0,-3.30081
3,1,0,-5.62346
4,1,0,-6.92481
5,1,0,-6.51842
6,1,0,-7.20213
7,1,0,-7.92173
8,1,0,-8.32131
9,1,0,-10.0366
10,1,0,-9.56627
11,1,0,-8.97512
12,1,0,-10.3452
13,1,0,-10.0029
14,1,0,-10.1555
15,1,0,-10.5136
16,1,0,-11.1741
17,1,0,-10.429
18,1,0,-10.5941
19,1,0,-9.56595
20,1,0,-10.9414
21,1,0,-11.1528
22,1,0,-12.2845
23,1,0,-11.5091
24,1,0,-11.9618
25,1,0,-13.2136
26,1,0,-12.3429
27,1,0,-11.8055
28,1,0,-12.2721
29,1,0,-11.4412
30,1,0,-11.4902
31,1,0.00860263,-12.5278
32,0.99688,0.880269,-12.1318
33,0.993745,0.754956,-12.2218
34,0.990619,0.636849,-11.5739
35,0.987504,0.515947,-13.037
36,0.984398,0.447363,-12.8803
37,0.981302,0.428998,-13.8375
38,0.978216,0.412125,-13.5833
39,0.975139,0.385042,-12.666
40,0.972072,0.370018,-12.6569
41,0.969015,0.722177,-11.5778
42,0.965968,0.659176,-10.5878
43,0.96293,0.633612,-10.3309
44,0.959901,0.618712,-9.8997
45,0.956882,0.603641,-11.0066
46,0.953873,0.597668,-11.344
47,0.950873,0.589814,-10.1699
48,0.947882,0.575415,-10.9578
49,0.944901,0.571754,-12.1572
50,0.941929,0.558246,-12.3496
51,0.938967,0.769846,-12.9306
52,0.936014,0.641376,-11.6561
53,0.93307,0.603397,-12.1733
54,0.930135,0.581974,-12.0576
55,0.92721,0.563825,-11.1361
56,0.924294,0.547472,-11.0616
57,0.921387,0.538557,-11.0353
58,0.918489,0.527077,-12.1694
59,0.915601,0.509345,-12.2179
60,0.912721,0.504408,-12.7409
61,0.90985,0.759613,-12.3987
62,0.906989,0.610309,-11.2208
63,0.904136,0.573548,-10.8407
64,0.901293,0.547451,-10.541
65,0.898458,0.517286,-11.3367
66,0.895633,0.5049,-10.6179
67,0.892816,0.489171,-11.1567
68,0.890008,0.485297,-12.2231
69,0.887209,0.46473,-12.3948
70,0.884418,0.457302,-11.7353
71,0.881637,0.659038,-11.2739
72,0.878864,0.570095,-11.1564
73,0.8761,0.54789,-12.57
74,0.873345,0.533365,-11.8513
75,0.870598,0.52638,-11.3981
76,0.86786,0.513444,-10.813
77,0.86513,0.501682,-10.2157
78,0.86241,0.489052,-10.5583
79,0.859697,0.482703,-9.80489
80,0.856993,0.47318,-9.39933
81,0.854298,0.5666,-10.4731
82,0.851611,0.468218,-9.92508
83,0.848933,0.44118,-9.35402
84,0.846263,0.419395,-9.50476
85,0.843602,0.412231,-11.5135
86,0.840948,0.408812,-12.3367
87,0.838304,0.409244,-14.5243
88,0.835667,0.398124,-14.4425
89,0.833039,0.391575,-12.9198
90,0.830419,0.387831,-12.0497
91,0.827807,0.445165,-10.8683
92,0.825204,0.39286,-10.0719
93,0.822608,0.380616,-10.6894
94,0.820021,0.36698,-11.5437
95,0.817442,0.366839,-10.71
96,0.814871,0.361435,-11.022
97,0.812309,0.355581,-10.7917
98,0.809754,0.354385,-10.5853
99,0.807207,0.354329,-10.3712
100,0.804668,0.354229,-9.52465
101,0.802138,0.450206,-10.3224
102,0.799615,0.40988,-9.64847
103,0.7971,0.403807,-9.36185
104,0.794593,0.395487,-9.90762
105,0.792094,0.396995,-9.83815
106,0.789603,0.399218,-9.46052
107,0.78712,0.396142,-9.43136
108,0.784644,0.391319,-9.17375
109,0.782176,0.392837,-11.1041
110,0.779716,0.397322,-11.6179
111,0.777264,0.491114,-12.7369
112,0.77482,0.450945,-12.7537
113,0.772383,0.441351,-12.6884
114,0.769954,0.432606,-11.8559
115,0.767532,0.433956,-11.6624
116,0.765118,0.436271,-10.8064
117,0.762712,0.426688,-9.93829
118,0.760313,0.419438,-10.0893
119,0.757922,0.413051,-9.73056
120,0.755538,0.419263,-9.84897
121,0.753162,0.471156,-9.48829
122,0.750793,0.425377,-9.14412
123,0.748432,0.415636,-8.98699
124,0.746078,0.406629,-11.1342
125,0.743732,0.394909,-10.6378
126,0.741393,0.391479,-9.98229
127,0.739061,0.393338,-9.02662
128,0.736736,0.396101,-8.05518
129,0.734419,0.393154,-8.64515
130,0.73211,0.393742,-9.43358
131,0.729807,0.420855,-8.28933
132,0.727512,0.393618,-7.8505
133,0.725224,0.387618,-10.0368
134,0.722943,0.38131,-9.89806
135,0.720669,0.381676,-10.2871
136,0.718403,0.375923,-11.0716
137,0.716143,0.36486,-10.2016
138,0.713891,0.361397,-9.78588
139,0.711646,0.364102,-9.13222
140,0.709408,0.36582,-9.85024
141,0.707177,0.48746,-9.79038
142,0.704952,0.4618,-9.61373
143,0.702735,0.454096,-9.07379
144,0.700525,0.45419,-10.3945
145,0.698322,0.45408,-11.9676
146,0.696126,0.451067,-12.1539
147,0.693936,0.452312,-11.0777
148,0.691754,0.44719,-10.6218
149,0.689578,0.451746,-10.3292
150,0.68741,0.447487,-9.62606
151,0.685248,0.528288,-9.47229
152,0.683092,0.490626,-8.69642
153,0.680944,0.477523,-8.20248
154,0.678803,0.473549,-9.9188
155,0.676668,0.469931,-8.88936
156,0.67454,0.460903,-8.0332
157,0.672418,0.452027,-8.29934
158,0.670303,0.450091,-8.08976
159,0.668195,0.448713,-7.36418
160,0.666094,0.44599,-7.33542
161,0.663999,0.485574,-6.61712
162,0.66191,0.460503,-7.28662
163,0.659829,0.4549,-7.66256
164,0.657754,0.450314,-7.23391
165,0.655685,0.448904,-8.098
166,0.653623,0.442775,-7.33815
167,0.651567,0.43671,-7.3416
168,0.649518,0.439836,-8.69193
169,0.647475,0.437108,-7.78914
170,0.645439,0.431189,-7.74747
171,0.643409,0.463103,-7.55383
172,0.641385,0.438128,-6.70757
173,0.639368,0.432039,-6.66694
174,0.637357,0.426727,-5.71512
175,0.635353,0.429953,-6.59009
176,0.633354,0.432094,-6.90094
177,0.631363,0.429087,-8.08329
178,0.629377,0.429927,-8.1379
179,0.627397,0.421373,-6.85882
