Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.878541
1,1,0,0.549934
2,1,0,-0.16675
3,1,0,-0.841652
4,1,0,-0.813125
5,1,0,0.0690826
6,1,0,-1.08454
7,1,0,-2.71628
8,1,0,-3.81362
9,1,0,-5.52589
10,1,0,-7.77559
11,1,0,-7.43858
12,1,0,-8.59378
13,1,0,-8.9001
14,1,0,-9.69666
15,1,0,-8.91558
16,1,0,-9.66359
17,1,0,-10.1507
18,1,0,-11.3115
19,1,0,-12.8083
20,1,0,-13.6674
21,1,0,-13.0338
22,1,0,-13.0544
23,1,0,-11.8931
24,1,0,-12.3242
25,1,0,-12.0788
26,1,0,-11.8289
27,1,0,-10.6641
28,1,0,-9.62511
29,1,0,-8.6455
30,1,0,-9.25152
31,1,3.49518,-8.17315
32,0.992478,0.657548,-10.5193
33,0.984964,0.21443,-10.7137
34,0.977507,0.114851,-10.9231
35,0.970106,0.171138,-10.6878
36,0.962761,0.192705,-11.5358
37,0.955472,0.270671,-11.6696
38,0.948238,0.141608,-10.5667
39,0.941058,0.0551591,-9.40144
40,0.933934,0.164155,-10.0846
41,0.926863,1.97827,-10.8193
42,0.919845,2.26012,-11.2882
43,0.912881,1.90717,-12.3482
44,0.905969,2.12727,-12.326
45,0.89911,2.21617,-10.7119
46,0.892303,2.10345,-8.7508
47,0.885547,1.89577,-6.36154
48,0.878842,2.15454,-6.2264
49,0.872188,1.86479,-7.2516
50,0.865585,2.15533,-8.17726
51,0.859031,2.89733,-7.86504
52,0.852527,2.52472,-3.34143
53,0.846073,2.55725,-4.07376
54,0.839667,2.64907,-2.37778
55,0.83331,2.51544,-1.4581
56,0.827,2.35687,-0.334503
57,0.820739,2.33052,-0.977581
58,0.814525,2.0066,-2.00489
59,0.808358,2.06805,-1.08064
60,0.802238,1.93206,-1.55006
61,0.796164,2.61187,-2.5497
62,0.790136,2.55952,-2.03566
63,0.784154,2.38186,0.048545
64,0.778217,2.24954,0.405363
65,0.772325,2.06686,0.129005
66,0.766477,2.02864,-0.067534
67,0.760674,1.98906,-0.113081
68,0.754915,1.83414,0.587676
69,0.7492,1.66826,1.93316
70,0.743527,1.67035,1.24903
71,0.737898,3.17187,1.741
72,0.732311,2.62364,-0.0444667
73,0.726767,2.54084,0.733346
