Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.255145
1,1,0,0.471155
2,1,0,0.389979
3,1,0,0.360424
4,1,0,0.411563
5,1,0,0.189423
6,1,0,0.384325
7,1,0,0.479423
8,1,0,0.324817
9,1,0,0.222889
10,1,0,0.295341
11,1,0,0.272526
12,1,0,0.352386
13,1,0,0.230375
14,1,0,0.499889
15,1,0,0.246894
16,1,0,0.380088
17,1,0,0.275951
18,1,0,0.456556
19,1,0,0.291128
20,1,0,0.178064
21,1,0,0.185111
22,1,0,0.413223
23,1,0,0.293546
24,1,0,0.338997
25,1,0,0.246393
26,1,0,0.344106
27,1,0,0.336088
28,1,0,0.457828
29,1,0,0.198211
30,1,0,0.29891
31,1,0,0.321338
32,1,0,0.3201
33,1,0,0.181029
34,1,0,0.399551
35,1,0,0.373306
36,1,0,0.381514
37,1,0,0.230444
38,1,0,0.339865
39,1,0,0.383032
40,1,0,0.432971
41,1,0,0.279472
42,1,0,0.210147
43,1,0,0.431624
44,1,0,0.346401
45,1,0,0.403729
46,1,0,0.41791
47,1,0,0.255348
48,1,0,0.22505
49,1,0,0.415522
50,1,0,0.431688
51,1,0,0.251701
52,1,0,0.301835
53,1,0,0.359998
54,1,0,0.0960182
55,1,0,0.393744
56,1,0,0.343365
57,1,0,0.223813
58,1,0,0.35734
59,1,0,0.286335
60,1,0,0.316035
61,1,0,0.292639
62,1,0,0.425744
63,1,2.12953,0.486035
64,0.998921,1.22459,0.431981
65,0.997832,0.508269,0.372003
66,0.996745,0.296159,0.426553
67,0.995659,0.279184,0.314296
68,0.994575,0.217155,0.250398
69,0.993491,0.324235,0.181176
70,0.992409,0.209509,0.263171
71,0.991328,0.394718,0.475062
72,0.990248,0.396845,0.340461
73,0.989169,0.281651,0.24463
74,0.988091,0.216957,0.436649
75,0.987015,0.213842,0.438237
76,0.98594,0.121086,0.43091
77,0.984866,0.225589,0.354912
78,0.983793,0.155922,0.653014
79,0.982721,0.137126,0.205701
80,0.98165,0.17964,0.251523
81,0.980581,0.32829,0.438599
82,0.979513,0.17643,0.207289
83,0.978446,0.19605,0.21611
84,0.97738,0.118125,0.237168
85,0.976315,0.162818,0.176559
86,0.975251,0.18,0.564605
87,0.974189,0.200054,0.298817
88,0.973128,0.152839,0.121585
89,0.972068,0.14357,0.266776
90,0.971009,0.122175,0.415195
91,0.969951,0.312488,0.440985
92,0.968894,0.2135,0.462635
93,0.967839,0.202169,0.313227
94,0.966784,0.183484,0.387258
95,0.965731,0.172526,0.436485
96,0.964679,0.216422,0.206378
97,0.963628,0.150168,0.259603
98,0.962578,0.135234,0.294536
99,0.96153,0.221212,0.209917
100,0.960482,0.155328,0.34307
101,0.959436,0.219678,0.32755
102,0.95839,0.20572,0.45194
103,0.957346,0.144372,0.390864
104,0.956303,0.203101,0.270712
105,0.955262,0.245949,0.308496
106,0.954221,0.198627,0.386751
107,0.953181,0.198132,0.404778
108,0.952143,0.170215,0.311324
109,0.951106,0.16283,0.308965
110,0.95007,0.144915,0.425572
111,0.949035,0.226449,0.422506
112,0.948001,0.151137,0.414479
113,0.946968,0.197416,0.472425
114,0.945936,0.259604,0.565512
115,0.944906,0.145666,0.479451
116,0.943876,0.17091,0.480547
117,0.942848,0.200655,0.475085
118,0.941821,0.179434,0.322021
119,0.940795,0.186153,0.270807
120,0.93977,0.144896,0.275719
121,0.938746,0.212943,0.434897
122,0.937724,0.227526,0.366541
123,0.936702,0.146517,0.316762
124,0.935682,0.171243,0.144406
125,0.934662,0.189028,0.292353
126,0.933644,0.16756,0.341908
127,0.932627,0.185412,0.307944
128,0.931611,0.119245,0.383868
129,0.930596,0.200161,0.41117
130,0.929582,0.114396,0.545824
131,0.92857,0.224086,0.44332
132,0.927558,0.19834,0.471972
133,0.926547,0.265256,0.424245
134,0.925538,0.152391,0.364367
135,0.92453,0.235429,0.235054
136,0.923523,0.183487,0.513278
137,0.922517,0.132969,0.509403
138,0.921512,0.169463,0.38663
139,0.920508,0.166288,0.189841
140,0.919505,0.1734,0.0796767
141,0.918503,0.194486,0.526382
142,0.917502,0.192217,0.243992
143,0.916503,0.123463,0.43775
144,0.915505,0.135043,0.366543
145,0.914507,0.191664,0.131156
146,0.913511,0.121988,0.447232
147,0.912516,0.116708,0.369631
148,0.911522,0.222882,0.432116
149,0.910529,0.19973,0.380495
150,0.909537,0.137958,0.269824
151,0.908546,0.189553,0.595668
152,0.907556,0.146478,0.567421
153,0.906567,0.102728,0.508542
154,0.90558,0.120414,0.508929
155,0.904593,0.148848,0.385035
156,0.903608,0.107466,0.584017
157,0.902623,0.13855,0.1955
158,0.90164,0.141789,0.322588
159,0.900658,0.15461,0.509491
160,0.899677,0.109091,0.370214
161,0.898696,0.14109,0.448161
162,0.897717,0.152972,0.336094
163,0.896739,0.109682,0.5165
164,0.895762,0.169357,0.378516
165,0.894787,0.150624,0.455468
166,0.893812,0.122377,0.0874954
167,0.892838,0.112019,0.412235
168,0.891865,0.136417,0.237672
169,0.890894,0.148182,0.472213
170,0.889923,0.160137,0.31956
171,0.888954,0.085934,0.394483
172,0.887985,0.162526,0.475147
173,0.887018,0.196128,0.20507
174,0.886052,0.160166,0.633243
175,0.885086,0.191533,0.285444
176,0.884122,0.0983966,0.502512
177,0.883159,0.137395,0.24089
178,0.882197,0.153547,0.466133
179,0.881236,0.156021,0.300938
180,0.880276,0.164589,0.230803
181,0.879317,0.130577,0.323009
182,0.878359,0.120918,0.448018
183,0.877402,0.11568,0.477917
184,0.876446,0.183266,0.433523
185,0.875491,0.125681,0.257034
186,0.874538,0.196948,0.285527
187,0.873585,0.07687,0.307928
188,0.872633,0.123571,0.425515
189,0.871683,0.0813876,0.429525
190,0.870733,0.218375,0.317304
191,0.869784,0.150296,0.462185
192,0.868837,0.131602,0.156263
193,0.86789,0.134142,0.328234
194,0.866945,0.0869011,0.577206
195,0.866,0.155696,0.474554
196,0.865057,0.132689,0.438488
197,0.864115,0.131627,0.473467
198,0.863173,0.146227,0.67755
199,0.862233,0.18613,0.286565
200,0.861293,0.157968,0.48205
201,0.860355,0.199639,0.324639
202,0.859418,0.142494,0.432169
203,0.858482,0.16771,0.143723
204,0.857546,0.11722,0.531051
205,0.856612,0.208089,0.505986
206,0.855679,0.115591,0.417093
207,0.854747,0.173329,0.287848
208,0.853816,0.211151,0.193079
209,0.852885,0.106207,0.3826
210,0.851956,0.107581,0.286538
211,0.851028,0.104544,0.542477
212,0.850101,0.112452,0.460275
213,0.849175,0.176801,0.585447
214,0.84825,0.104524,0.524569
215,0.847326,0.143859,0.294545
216,0.846403,0.109623,0.409662
217,0.845481,0.17222,0.422953
218,0.84456,0.105741,0.378829
219,0.843639,0.172867,0.394691
220,0.84272,0.107776,0.390725
221,0.841802,0.0958711,0.503378
222,0.840885,0.146852,0.442201
223,0.839969,0.119143,0.312669
224,0.839054,0.183681,0.372254
225,0.83814,0.125225,0.603413
226,0.837227,0.142747,0.381936
227,0.836315,0.128228,0.451021
228,0.835404,0.128783,0.394906
229,0.834494,0.128976,0.374795
230,0.833585,0.138881,0.401526
231,0.832677,0.157938,0.497705
232,0.831769,0.154915,0.382729
233,0.830863,0.132314,0.428408
234,0.829958,0.244889,0.213612
235,0.829054,0.185979,0.490222
