Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.4479
1,1,0,1.55513
2,1,0,2.90981
3,1,0,3.2816
4,1,0,3.43919
5,1,0,3.32026
6,1,0,3.9487
7,1,0,3.73456
8,1,0,4.22073
9,1,0,4.38519
10,1,0,4.39198
11,1,0,5.12465
12,1,0,5.42814
13,1,0,6.02838
14,1,0,6.16664
15,1,0,5.84006
16,1,0,6.89226
17,1,0,6.6077
18,1,0,6.80318
19,1,0,7.73469
20,1,0,7.61355
21,1,0,7.39936
22,1,0,7.12482
23,1,0,7.42645
24,1,0,7.56626
25,1,0,7.99314
26,1,0,8.05954
27,1,0,7.85989
28,1,0,7.34632
29,1,0,7.49743
30,1,0,7.1096
31,1,1.17592,7.25403
32,0.969718,0.44571,7.18224
33,0.940118,0.0088516,7.20156
34,0.911421,0.00388297,6.52269
35,0.883601,0.0299523,6.80307
36,0.856629,0.00456373,7.07947
37,0.830481,0.00111187,6.18346
38,0.805131,0.0151477,6.34667
39,0.780555,0.000848604,7.0642
40,0.756729,0.0121938,7.78604
41,0.73363,0.620851,8.60741
42,0.711237,0.656917,10.2977
43,0.689527,0.613619,10.6282
44,0.668479,0.610955,11.4686
45,0.648074,0.64244,11.6982
46,0.628292,0.629693,12.1603
47,0.609114,0.619049,12.8472
48,0.590521,0.634863,12.1712
49,0.572496,0.625538,12.8283
50,0.555021,0.61168,13.5353
51,0.538079,0.242247,14.1628
52,0.521654,0.134433,14.6073
53,0.505731,0.204706,14.7767
54,0.490294,0.198488,15.0487
55,0.475328,0.209723,15.1141
56,0.460819,0.206256,15.8769
57,0.446753,0.199363,15.9445
58,0.433116,0.155314,16.1094
59,0.419895,0.184389,16.4388
60,0.407078,0.184208,16.9016
61,0.394652,0.491743,18.3555
62,0.382606,0.529473,18.8523
63,0.370927,0.53786,19.3681
64,0.359605,0.520157,19.6429
65,0.348628,0.544283,20.0167
66,0.337986,0.549306,20.1586
67,0.327669,0.550803,21.0255
68,0.317668,0.500086,21.3758
69,0.307971,0.541173,21.9327
70,0.29857,0.556684,22.1495
71,0.289457,0.141181,23.1458
72,0.280621,0.201274,22.2388
