Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,0.401717,-497.313
32,0.955679,44.5541,-495.171
33,0.913018,37.448,-484.122
34,0.872261,33.6071,-477.049
35,0.833324,31.9218,-462.51
36,0.796124,31.7095,-434.396
37,0.760586,31.6294,-444.627
38,0.726633,31.6356,-442.71
39,0.694197,31.4293,-423.37
40,0.663208,31.1843,-421.605
41,0.633603,31.7552,-408.613
42,0.605319,31.3127,-406.186
43,0.578298,31.4812,-390.92
44,0.552483,31.3997,-380.718
45,0.52782,31.527,-371.094
46,0.504258,31.5755,-376.117
47,0.481748,31.6581,-364.08
48,0.460243,31.6526,-355.704
49,0.439698,31.6661,-332.132
50,0.42007,31.7555,-313.802
51,0.401318,32.1858,-297.651
52,0.383404,31.8289,-297.144
53,0.366289,31.8287,-291.567
54,0.349938,31.9635,-281.14
55,0.334317,31.8586,-273.455
56,0.319393,31.7791,-270.691
57,0.305135,32.0641,-275.719
58,0.291514,31.9666,-279.808
59,0.278501,32.0033,-268.392
60,0.266069,31.9934,-258.709
61,0.254192,32.4583,-262.162
62,0.242845,31.7668,-253.009
63,0.232004,31.7994,-269.028
64,0.221648,31.3983,-277.391
65,0.211753,31.0727,-279.137
66,0.202301,30.8928,-262.546
67,0.19327,30.5319,-254.956
68,0.184643,30.3804,-252.515
69,0.1764,30.3036,-249.351
70,0.168526,30.3884,-239.081
71,0.161003,31.7599,-225.323
72,0.153816,31.6413,-213.276
73,0.146949,31.4926,-206.945
74,0.14039,31.7345,-192.651
75,0.134123,31.4385,-184.813
76,0.128136,31.4683,-182.918
77,0.122416,31.1111,-176.122
78,0.116951,30.9983,-161.831
79,0.11173,30.9472,-160.188
80,0.106743,30.7185,-164.435
81,0.101978,30.0729,-158.786
82,0.0974256,29.6651,-158.14
83,0.0930765,29.5551,-159.2
84,0.0889216,29.5406,-146.087
85,0.0849522,28.9587,-146.525
86,0.08116,29.0245,-146.092
87,0.077537,28.7747,-138.195
88,0.0740758,28.66,-126.208
89,0.0707691,28.2461,-129.357
90,0.06761,28.0042,-128.351
91,0.0645919,28.3877,-123.767
92,0.0617085,28.2663,-120.478
93,0.0589539,27.7993,-118.805
94,0.0563222,27.4796,-128.322
95,0.053808,27.203,-115.699
96,0.051406,26.8886,-105.238
97,0.0491113,26.5396,-116.439
