Episode,Epsilon,Q Value Loss,E[R]
0,0.951648,0.457129,3.32153
1,0.905598,0.443781,6.17489
2,0.861776,0.474957,6.98175
3,0.820075,0.419563,8.03882
4,0.780391,1.02749,8.71891
5,0.742628,1.12478,7.90789
6,0.706692,1.14277,9.10596
7,0.672495,1.09561,9.80442
8,0.639953,0.873706,10.974
9,0.608986,0.99323,11.585
10,0.579517,0.975088,13.4707
11,0.551474,1.0561,14.0678
12,0.524788,0.946844,13.973
13,0.499394,0.978075,14.4788
14,0.475228,0.988026,14.4711
15,0.452232,1.02073,16.0011
16,0.430348,0.715236,16.2371
17,0.409524,0.770316,15.7218
18,0.389707,0.774311,17.3979
19,0.370849,0.92255,18.0168
20,0.352904,0.785369,18.0021
21,0.335827,0.643443,19.2984
22,0.319576,0.671489,19.6926
23,0.304112,0.677985,19.8861
24,0.289396,0.592256,20.154
25,0.275392,0.691835,19.8218
26,0.262066,0.583474,19.6828
27,0.249384,0.726544,21.2684
28,0.237317,0.586305,21.7068
29,0.225833,0.636787,22.3348
30,0.214905,0.625519,21.7521
31,0.204506,0.636471,22.5146
32,0.19461,0.774051,22.9829
33,0.185192,0.643067,22.7277
34,0.176231,0.666715,23.062
35,0.167703,0.65024,22.8672
36,0.159588,0.698704,23.5673
37,0.151865,0.654366,24.0353
38,0.144517,0.705197,24.1104
39,0.137524,0.606725,24.3983
40,0.130869,0.492624,24.5589
41,0.124536,0.480484,24.9603
42,0.11851,0.457951,24.5542
43,0.112775,0.493447,25.077
44,0.107318,0.383977,24.5435
45,0.102125,0.416018,25.8308
46,0.097183,0.481634,25.5781
47,0.0924803,0.416752,25.8345
48,0.0880051,0.50899,26.2035
49,0.0837466,0.431486,25.4193
50,0.0796941,0.396224,26.2301
51,0.0758377,0.458726,26.872
52,0.0721679,0.443899,26.994
53,0.0686757,0.433191,26.8543
54,0.0653525,0.40914,27.3918
55,0.0621901,0.373238,27.4966
56,0.0591807,0.323377,26.8975
57,0.0563169,0.314966,26.9991
58,0.0535918,0.320683,27.6558
59,0.0509985,0.279196,27.9995
60,0.0485306,0.368822,27.8152
61,0.0461822,0.369659,28.1066
62,0.0439475,0.336136,27.5289
63,0.0418209,0.281521,27.2342
64,0.0397971,0.301805,27.7305
65,0.0378714,0.394232,27.9311
66,0.0360388,0.38696,27.0633
67,0.0342949,0.375188,27.9236
68,0.0326353,0.35972,28.4543
69,0.0310561,0.362057,28.2662
70,0.0295533,0.301157,28.9185
71,0.0281232,0.275849,28.756
72,0.0267623,0.26556,28.935
73,0.0254673,0.228314,28.5657
74,0.0242349,0.289257,28.1894
75,0.0230622,0.31396,28.1547
76,0.0219462,0.268839,28.4493
77,0.0208842,0.278703,28.7129
78,0.0198737,0.332872,28.4384
79,0.018912,0.249532,28.4763
80,0.0179968,0.307969,28.9874
81,0.017126,0.193269,29.0714
82,0.0162972,0.226474,29.2238
83,0.0155086,0.218834,29.0287
84,0.0147581,0.277914,28.5776
85,0.014044,0.26855,28.3592
86,0.0133644,0.264583,28.9827
87,0.0127177,0.323854,28.8375
88,0.0121023,0.225419,28.6756
89,0.0115167,0.297517,28.7499
90,0.0109594,0.220804,29.1765
91,0.0104291,0.23839,28.9807
92,0.00992439,0.21859,28.8858
93,0.00944415,0.241105,28.8633
94,0.00898715,0.245477,29.0491
95,0.00855226,0.226088,28.7641
96,0.00813841,0.196391,29.1474
97,0.0077446,0.280495,29.6233
98,0.00736983,0.214664,29.5033
99,0.00701321,0.203031,29.4838
100,0.00667384,0.275802,29.2353
101,0.00635089,0.277627,29.37
102,0.00604357,0.254689,29.4101
103,0.00575112,0.280619,29.6049
104,0.00547283,0.219167,29.7101
105,0.005208,0.308956,29.8867
106,0.00495598,0.305268,29.736
107,0.00471616,0.262305,29.0322
108,0.00448795,0.240604,29.3126
109,0.00427077,0.268242,29.842
110,0.00406411,0.251427,29.7216
111,0.00386745,0.265059,29.68
112,0.0036803,0.203095,29.5515
113,0.00350221,0.190831,29.3547
114,0.00333274,0.245255,29.4125
115,0.00317147,0.222675,29.3114
116,0.003018,0.195075,29.1962
117,0.00287196,0.192079,29.3742
118,0.00273299,0.211321,29.4158
119,0.00260074,0.285395,29.5478
120,0.00247489,0.279918,29.3164
121,0.00235513,0.244482,29.285
